longitude,latitude,store_name,street_address,city,state,zip,phone_number
-93.39388,44.93588,T-0002 Knollwood,8900 Highway 7,Saint Louis Park,MN,55426,(952)935-6941
-93.365795,45.053537,T-0003  Crystal,5537 W Broadway Ave,Crystal,MN,55428,(763)533-2231
-92.168093,46.808673,T-0004  Duluth,1902 Miller Trunk Hwy,Duluth,MN,55811,(218)727-8851
-93.311624,44.860202,T-0005  Bloomington,2555 W 79th St,Bloomington,MN,55431,(952)888-7701
-93.249403,45.06631,T-0008 Fridley,755 53rd Ave NE,Minneapolis,MN,55421,(763)571-9361
-90.429222,38.755099,T-0012  Bridgeton,12275 Saint Charles Rock Rd,Bridgeton,MO,63044,(314)291-0600
-96.814378,32.927294,T-0013  North Dallas,13131 Montfort Dr,Dallas,TX,75240,(972)239-8161
-96.644107,32.856183,T-0014  Garland,1122 W Centerville Rd,Garland,TX,75041,(972)279-6711
-95.507357,29.7077,T-0016 Sharpstown,7051 Southwest Fwy,Houston,TX,77074,(713)771-8321
-104.75551,38.83858,T-0018  Colorado Springs,335 N Academy Blvd,Colorado Springs,CO,80909,(719)596-6220